Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
Italy,Maize,1991,45798,832,155.82,13.5
Italy,Sweet potatoes,1992,142845,832,141.05,13.5
China,Cassava,2013,185395,645,88.47,8.5
Bangladesh,Sorghum,1992,15322,2666,137.29,25.5
Vietnam,Yams,1997,111202,1821,130.65,25.5
Egypt,Wheat,1995,25062,51,125.17,22.5
Vietnam,Sweet potatoes,2002,181879,1821,117.87,25.5
Austria,Plantains,2009,84653,1110,86.55,6.35
Thailand,Sweet potatoes,2013,181949,1622,77.22,28.0
Japan,Plantains,2006,76261,1668,97.02,12.0
Australia,Cassava,1999,148918,534,120.85,21.65
Canada,Rice,2003,51485,537,106.54,-5.35
Australia,Maize,2008,62239,534,104.35,21.65
Austria,Yams,1991,107925,1110,151.66,6.35
Argentina,Sweet potatoes,1997,141600,590,123.49,16.0
France,Sweet potatoes,1990,131907,867,156.73,12.5
Japan,Cassava,2005,167073,1668,110.1,12.0
Mexico,Yams,2000,142775,758,117.57,21.0
Turkey,Potatoes,2013,261718,574,78.72,11.1
United Kingdom,Soybeans,2006,35060,1220,101.88,9.5
Austria,Potatoes,2003,173138,1110,104.92,6.35
Brazil,Sweet potatoes,1998,138909,1761,120.91,25.0
Bangladesh,Sorghum,1999,19975,2666,122.28,25.5
Netherlands,Potatoes,1997,159695,850,132.4,9.5
USA,Sorghum,2011,21096,715,82.05,8.5
Turkey,Cassava,1990,137281,574,142.47,11.1
Germany,Rice,2004,50481,700,98.99,8.5
Australia,Soybeans,2010,38528,534,86.92,21.65
Pakistan,Plantains,2001,64754,494,126.01,19.0
India,Wheat,1993,30154,1083,143.78,25.0
Bangladesh,Soybeans,2002,34287,2666,105.59,25.5
France,Potatoes,2001,200502,867,110.71,12.5
Italy,Cassava,2005,140674,832,106.03,13.5
Indonesia,Sorghum,2002,17851,2702,104.5,26.5
Japan,Soybeans,2001,27484,1668,125.13,12.0
Australia,Sweet potatoes,1994,168449,534,142.18,21.65
USA,Rice,2006,52580,715,95.99,8.5
Thailand,Rice,1993,50864,1622,148.64,28.0
Vietnam,Wheat,1997,39597,1821,122.33,25.5
India,Sorghum,1994,15202,1083,141.54,25.0
United Kingdom,Rice,1995,47662,1220,125.05,9.5
Egypt,Wheat,2011,39852,51,84.47,22.5
India,Rice,2001,64017,1083,114.89,25.0
Turkey,Yams,1999,103838,574,121.66,11.1
Albania,Sorghum,1993,14450,1485,149.17,16.37
Netherlands,Rice,2008,57467,850,104.84,9.5
Egypt,Cassava,2010,156781,51,86.28,22.5
Italy,Rice,1991,46861,832,137.4,13.5
Indonesia,Maize,1998,66194,2702,127.99,26.5
Egypt,Plantains,1993,61626,51,149.53,22.5
Netherlands,Plantains,2001,78560,850,110.76,9.5
United Kingdom,Yams,1999,117752,1220,129.2,9.5
Thailand,Maize,1992,60135,1622,134.93,28.0
Germany,Sorghum,2002,17312,700,123.14,8.5
USA,Yams,2005,114499,715,97.89,8.5
Bangladesh,Rice,1992,57095,2666,153.27,25.5
Bangladesh,Rice,2011,72577,2666,90.02,25.5
India,Plantains,2000,88613,1083,112.88,25.0
Austria,Soybeans,2002,28890,1110,115.08,6.35
India,Rice,2008,54409,1083,100.73,25.0
Canada,Plantains,1994,61921,537,134.28,-5.35
Albania,Soybeans,1990,27038,1485,158.01,16.37
Mexico,Maize,2008,71365,758,102.74,21.0
USA,Potatoes,2003,178362,715,117.74,8.5
USA,Potatoes,2001,169271,715,125.08,8.5
United Kingdom,Potatoes,2007,233823,1220,95.26,9.5
Belgium,Maize,1990,43575,847,146.81,10.5
Australia,Wheat,2011,47883,534,92.42,21.65
Thailand,Sweet potatoes,1995,149782,1622,134.48,28.0
Belgium,Plantains,2010,93322,847,86.43,10.5
Australia,Sorghum,2004,18289,534,99.62,21.65
Australia,Rice,2005,54580,534,107.27,21.65
Belgium,Wheat,2004,34292,847,112.77,10.5
Spain,Yams,1993,114839,636,141.41,14.0
Albania,Rice,1993,47145,1485,137.29,16.37
Vietnam,Maize,1996,66191,1821,129.44,25.5
China,Cassava,1993,107201,645,142.87,8.5
Pakistan,Potatoes,1998,156863,494,125.27,19.0
Brazil,Soybeans,2012,32489,1761,88.77,25.0
Austria,Potatoes,1991,165988,1110,141.75,6.35
Turkey,Plantains,2003,78773,574,117.38,11.1
USA,Soybeans,2005,34350,715,111.87,8.5
Brazil,Potatoes,1993,175911,1761,145.19,25.0
Turkey,Wheat,2012,41029,574,77.15,11.1
Albania,Plantains,1993,66144,1485,150.81,16.37
Mexico,Potatoes,2006,204787,758,93.14,21.0
Spain,Sweet potatoes,2009,158224,636,93.83,14.0
Netherlands,Sweet potatoes,2001,165562,850,117.57,9.5
Austria,Sorghum,2000,17348,1110,111.39,6.35
Brazil,Sweet potatoes,2000,187137,1761,114.39,25.0
Vietnam,Cassava,1992,134523,1821,144.06,25.5
Turkey,Soybeans,2011,30215,574,95.49,11.1
Australia,Wheat,2010,46459,534,97.37,21.65
Thailand,Rice,2001,53952,1622,110.76,28.0
Spain,Rice,2010,61034,636,92.35,14.0
Netherlands,Potatoes,1992,196319,850,139.31,9.5
Spain,Potatoes,1998,193331,636,123.0,14.0
Mexico,Potatoes,2012,270761,758,74.26,21.0
Mexico,Potatoes,1990,177365,758,157.63,21.0
Australia,Cassava,2010,149905,534,80.66,21.65
India,Cassava,1995,139308,1083,143.24,25.0
Thailand,Cassava,2002,145521,1622,115.7,28.0
Canada,Soybeans,2003,26350,537,115.83,-5.35
Bangladesh,Soybeans,1995,28487,2666,144.34,25.5
Spain,Sorghum,1995,15151,636,132.91,14.0
USA,Potatoes,2005,212658,715,108.57,8.5
Albania,Wheat,1990,34085,1485,158.81,16.37
Italy,Potatoes,2002,196511,832,120.32,13.5
Pakistan,Potatoes,2006,147781,494,104.28,19.0
Spain,Rice,1991,49697,636,149.27,14.0
United Kingdom,Maize,2009,55029,1220,91.76,9.5
Japan,Sorghum,1992,15751,1668,139.6,12.0
Belgium,Potatoes,1996,206441,847,141.88,10.5
India,Wheat,1990,33765,1083,156.69,25.0
Indonesia,Maize,2007,66185,2702,95.0,26.5
Indonesia,Rice,1996,65658,2702,139.25,26.5
Egypt,Plantains,1990,61598,51,154.03,22.5
Japan,Sweet potatoes,2008,142134,1668,90.96,12.0
Albania,Wheat,2004,34052,1485,105.19,16.37
Mexico,Wheat,1993,33059,758,147.85,21.0
Germany,Sweet potatoes,2001,138991,700,116.48,8.5
India,Plantains,1998,79944,1083,120.71,25.0
Netherlands,Plantains,1990,68415,850,150.69,9.5
Indonesia,Plantains,1994,71231,2702,147.59,26.5
France,Rice,2000,56134,867,117.0,12.5
Australia,Potatoes,1997,235836,534,137.49,21.65
Egypt,Yams,1998,111305,51,121.15,22.5
Albania,Rice,2004,53259,1485,102.56,16.37
Brazil,Soybeans,2007,30606,1761,103.47,25.0
Netherlands,Sweet potatoes,1992,116274,850,137.84,9.5
Vietnam,Sweet potatoes,1998,158811,1821,128.84,25.5
Indonesia,Rice,2010,80913,2702,92.0,26.5
Canada,Potatoes,2004,179925,537,102.58,-5.35
India,Yams,1994,119599,1083,130.09,25.0
Turkey,Rice,1992,45220,574,145.99,11.1
China,Sweet potatoes,1997,159718,645,134.07,8.5
Australia,Plantains,1997,81196,534,124.54,21.65
Netherlands,Sorghum,2004,18717,850,99.99,9.5
Belgium,Maize,2001,57525,847,122.12,10.5
Albania,Wheat,1992,34870,1485,134.31,16.37
India,Maize,1991,62375,1083,140.58,25.0
Italy,Plantains,2003,80607,832,102.06,13.5
Pakistan,Yams,2011,99897,494,92.9,19.0
United Kingdom,Soybeans,2011,29214,1220,79.38,9.5
Japan,Rice,1998,51446,1668,116.75,12.0
Belgium,Maize,2000,49277,847,113.2,10.5
Australia,Sorghum,2005,17642,534,108.67,21.65
Mexico,Rice,2011,67707,758,95.19,21.0
Australia,Rice,2010,58296,534,84.41,21.65
Austria,Cassava,1990,124147,1110,156.28,6.35
Turkey,Yams,1993,99998,574,145.45,11.1
Belgium,Plantains,1990,59968,847,157.08,10.5
Indonesia,Plantains,2003,84138,2702,104.49,26.5
Germany,Maize,1992,52189,700,150.43,8.5
Pakistan,Cassava,1990,107378,494,148.41,19.0
China,Wheat,2007,35853,645,101.02,8.5
USA,Plantains,2008,78734,715,89.73,8.5
Austria,Maize,1990,43908,1110,159.4,6.35
Netherlands,Yams,2011,141300,850,87.35,9.5
Italy,Maize,1992,55168,832,151.49,13.5
Australia,Plantains,2008,87837,534,89.27,21.65
Australia,Wheat,1992,36747,534,143.77,21.65
France,Rice,1997,50425,867,132.55,12.5
United Kingdom,Cassava,2013,142448,1220,77.07,9.5
Thailand,Sorghum,2013,22899,1622,79.53,28.0
United Kingdom,Plantains,2013,100141,1220,71.11,9.5
Indonesia,Rice,1999,58275,2702,129.64,26.5
Australia,Maize,2013,81724,534,84.85,21.65
Turkey,Sweet potatoes,2004,149776,574,110.6,11.1
Argentina,Sorghum,1996,15086,590,132.65,16.0
Egypt,Soybeans,2012,33526,51,90.2,22.5
Thailand,Yams,2007,143611,1622,91.99,28.0
Argentina,Potatoes,2000,211471,590,120.41,16.0
Vietnam,Soybeans,2009,34339,1821,102.53,25.5
Netherlands,Maize,2010,72908,850,96.39,9.5
Belgium,Cassava,2007,148702,847,104.61,10.5
Spain,Soybeans,2009,29296,636,95.12,14.0
Brazil,Sorghum,2004,18692,1761,103.37,25.0
France,Plantains,2004,88767,867,112.48,12.5
Mexico,Maize,2005,68544,758,100.75,21.0
Spain,Sorghum,1998,17788,636,118.62,14.0
France,Wheat,2001,37737,867,122.64,12.5
Japan,Sweet potatoes,1990,121056,1668,158.4,12.0
Pakistan,Potatoes,2001,167381,494,110.17,19.0
Mexico,Plantains,1996,67783,758,138.09,21.0
Vietnam,Soybeans,2011,37971,1821,91.19,25.5
Austria,Yams,1999,115653,1110,114.98,6.35
USA,Cassava,2002,132706,715,118.02,8.5
Egypt,Maize,2011,56680,51,94.4,22.5
Argentina,Rice,1997,51826,590,121.78,16.0
Japan,Potatoes,2012,226690,1668,84.76,12.0
France,Maize,2012,69822,867,78.54,12.5
Argentina,Rice,2000,46662,590,123.35,16.0
Albania,Rice,2010,62062,1485,90.38,16.37
Turkey,Sorghum,1990,14872,574,151.33,11.1
Austria,Maize,2006,60217,1110,109.57,6.35
Mexico,Soybeans,2009,36461,758,98.05,21.0
Spain,Sweet potatoes,2008,179332,636,97.14,14.0
Italy,Soybeans,2002,27457,832,105.0,13.5
Netherlands,Potatoes,2012,225610,850,76.12,9.5
Brazil,Rice,2005,51763,1761,113.12,25.0
China,Cassava,1998,140439,645,134.37,8.5
Albania,Cassava,1996,132030,1485,123.03,16.37
Austria,Potatoes,2002,171607,1110,123.11,6.35
Egypt,Wheat,2008,33294,51,90.5,22.5
Mexico,Wheat,2011,46867,758,93.62,21.0
Canada,Maize,2013,65696,537,88.16,-5.35
Thailand,Sweet potatoes,2008,196600,1622,90.18,28.0
China,Sweet potatoes,2006,139777,645,93.72,8.5
Albania,Sweet potatoes,1991,116030,1485,146.48,16.37
China,Yams,2008,144690,645,102.57,8.5
Argentina,Wheat,2006,35357,590,104.55,16.0
China,Soybeans,1999,31183,645,131.69,8.5
Austria,Wheat,2009,35533,1110,102.67,6.35
India,Potatoes,2013,273699,1083,80.68,25.0
United Kingdom,Yams,2009,147366,1220,101.73,9.5
Thailand,Rice,2010,63923,1622,99.36,28.0
Argentina,Wheat,2008,38482,590,98.4,16.0
USA,Yams,1997,129634,715,131.42,8.5
Thailand,Sweet potatoes,1998,178904,1622,120.05,28.0
Belgium,Sorghum,2012,21230,847,78.84,10.5
United Kingdom,Sweet potatoes,1993,142425,1220,131.24,9.5
Belgium,Yams,2006,133328,847,100.73,10.5
Thailand,Potatoes,2011,270024,1622,95.73,28.0
Egypt,Soybeans,1993,22556,51,136.05,22.5
Italy,Rice,2004,54219,832,107.6,13.5
Canada,Soybeans,1993,22814,537,132.65,-5.35
Mexico,Potatoes,1994,195449,758,142.74,21.0
Vietnam,Wheat,1992,31362,1821,137.99,25.5
Vietnam,Sorghum,2013,21741,1821,78.68,25.5
Mexico,Sweet potatoes,2005,181406,758,108.08,21.0
Austria,Wheat,1991,33395,1110,149.82,6.35
Germany,Sweet potatoes,1994,153502,700,136.13,8.5
Bangladesh,Yams,2003,142858,2666,109.93,25.5
Albania,Sweet potatoes,1997,159012,1485,129.06,16.37
USA,Plantains,2013,99129,715,73.31,8.5
Austria,Plantains,2005,73706,1110,113.38,6.35
Japan,Wheat,2008,40696,1668,102.91,12.0
Albania,Potatoes,2011,237851,1485,79.39,16.37
Belgium,Rice,2002,47276,847,117.85,10.5
Bangladesh,Wheat,2006,39578,2666,105.41,25.5
Brazil,Maize,1993,55913,1761,141.14,25.0
China,Sweet potatoes,2009,183090,645,95.76,8.5
United Kingdom,Plantains,2001,78993,1220,107.64,9.5
Bangladesh,Yams,2001,119215,2666,120.46,25.5
Vietnam,Rice,1995,59194,1821,141.98,25.5
Netherlands,Sweet potatoes,2009,150441,850,83.17,9.5
Bangladesh,Rice,2012,72690,2666,75.25,25.5
United Kingdom,Maize,2007,57082,1220,94.72,9.5
Argentina,Rice,2002,49572,590,107.38,16.0
Germany,Wheat,1993,31619,700,140.8,8.5
Brazil,Potatoes,1998,184465,1761,131.18,25.0
Argentina,Potatoes,2009,214352,590,90.84,16.0
Turkey,Rice,2004,59417,574,101.29,11.1
Germany,Sorghum,1998,15308,700,126.91,8.5
USA,Plantains,1993,68583,715,141.89,8.5
Japan,Yams,2000,131733,1668,123.54,12.0
Canada,Wheat,2003,33861,537,101.01,-5.35
Pakistan,Potatoes,2013,156894,494,77.68,19.0
Spain,Yams,2007,146099,636,94.54,14.0
Spain,Rice,2003,51022,636,118.47,14.0
Vietnam,Maize,2011,77066,1821,94.81,25.5
United Kingdom,Potatoes,1993,180990,1220,141.39,9.5
Italy,Rice,1994,46879,832,142.36,13.5
China,Plantains,1997,68191,645,133.04,8.5
Indonesia,Wheat,2007,42644,2702,107.9,26.5
United Kingdom,Maize,2004,58421,1220,98.95,9.5
Netherlands,Plantains,2005,78392,850,99.91,9.5
Indonesia,Sweet potatoes,2007,166231,2702,91.39,26.5
Egypt,Maize,2004,60478,51,108.96,22.5
France,Sweet potatoes,1992,138090,867,144.22,12.5
China,Soybeans,2003,35655,645,118.8,8.5
Thailand,Sweet potatoes,2006,197159,1622,103.54,28.0
Argentina,Maize,2007,53833,590,89.9,16.0
Australia,Potatoes,1993,220344,534,145.11,21.65
China,Maize,2012,75164,645,91.72,8.5
Albania,Soybeans,1993,29451,1485,148.74,16.37
Italy,Sorghum,1993,17681,832,139.13,13.5
Austria,Potatoes,1990,167383,1110,147.77,6.35
USA,Maize,2000,52296,715,118.1,8.5
Indonesia,Potatoes,1998,175335,2702,130.68,26.5
Belgium,Sweet potatoes,1997,151154,847,126.76,10.5
Pakistan,Potatoes,1992,153113,494,134.02,19.0
Netherlands,Yams,1993,94052,850,132.13,9.5
Netherlands,Sorghum,2000,16593,850,119.6,9.5
China,Potatoes,2000,185248,645,121.46,8.5
USA,Sweet potatoes,2008,149209,715,92.97,8.5
Bangladesh,Plantains,1995,64946,2666,144.86,25.5
Turkey,Rice,1990,39329,574,147.82,11.1
Mexico,Maize,1995,54222,758,134.19,21.0
United Kingdom,Soybeans,1999,32416,1220,115.26,9.5
Belgium,Yams,2011,137094,847,92.61,10.5
Argentina,Wheat,1996,32926,590,135.3,16.0
United Kingdom,Maize,2003,66421,1220,112.91,9.5
Italy,Rice,2003,61770,832,108.17,13.5
Argentina,Cassava,2008,163210,590,94.48,16.0
USA,Sorghum,2002,16221,715,112.08,8.5
Indonesia,Wheat,2004,33016,2702,112.17,26.5
Austria,Yams,2003,136157,1110,108.11,6.35
India,Wheat,2011,40519,1083,82.27,25.0
Albania,Maize,2009,63096,1485,96.68,16.37
Albania,Yams,2003,111126,1485,102.13,16.37
Spain,Soybeans,2001,29273,636,118.61,14.0
Australia,Sweet potatoes,2010,195951,534,83.99,21.65
Albania,Yams,1992,118592,1485,135.46,16.37
United Kingdom,Plantains,2005,68017,1220,105.06,9.5
Pakistan,Sweet potatoes,2006,114980,494,109.4,19.0
Mexico,Plantains,2009,85395,758,98.49,21.0
Germany,Soybeans,2007,28252,700,94.18,8.5
Turkey,Rice,2012,66275,574,76.86,11.1
Australia,Soybeans,1999,37146,534,125.34,21.65
Canada,Yams,2006,96881,537,96.18,-5.35
Thailand,Soybeans,1991,30305,1622,140.08,28.0
Turkey,Soybeans,2005,32954,574,112.22,11.1
Turkey,Potatoes,1993,183286,574,141.38,11.1
Netherlands,Yams,2003,130830,850,110.54,9.5
Mexico,Soybeans,2013,43729,758,85.05,21.0
USA,Maize,2007,55712,715,92.38,8.5
Austria,Rice,1999,46662,1110,117.56,6.35
France,Cassava,2000,138437,867,122.91,12.5
Bangladesh,Rice,2000,56066,2666,112.28,25.5
Brazil,Cassava,2012,185774,1761,77.59,25.0
Germany,Soybeans,1999,31339,700,116.31,8.5
India,Cassava,2013,195587,1083,79.43,25.0
USA,Potatoes,1994,196306,715,132.64,8.5
Japan,Sorghum,2011,21304,1668,95.95,12.0
Brazil,Rice,1993,56648,1761,145.1,25.0
United Kingdom,Sweet potatoes,2006,143591,1220,106.99,9.5
Vietnam,Plantains,2005,78825,1821,107.24,25.5
Turkey,Maize,2010,71009,574,80.18,11.1
Netherlands,Rice,2002,53611,850,108.92,9.5
Turkey,Cassava,2013,164030,574,79.59,11.1
India,Yams,2011,146543,1083,95.2,25.0
Brazil,Cassava,1999,143248,1761,120.14,25.0
Australia,Potatoes,2003,236624,534,102.54,21.65
Argentina,Sorghum,1999,16143,590,117.23,16.0
Vietnam,Yams,1998,111150,1821,133.84,25.5
Indonesia,Soybeans,2009,30618,2702,86.0,26.5
Spain,Maize,2009,55882,636,94.54,14.0
Netherlands,Sorghum,2007,16505,850,100.78,9.5
Albania,Yams,1991,113000,1485,138.68,16.37
India,Maize,2005,69700,1083,101.72,25.0
France,Yams,2002,116756,867,104.01,12.5
Argentina,Wheat,1990,27131,590,158.77,16.0
Turkey,Rice,1997,45197,574,131.19,11.1
Japan,Yams,1990,91242,1668,144.93,12.0
Italy,Wheat,2000,38156,832,118.36,13.5
France,Cassava,2004,152270,867,104.58,12.5
Bangladesh,Sorghum,2010,19257,2666,95.87,25.5
Vietnam,Soybeans,1994,29176,1821,136.19,25.5
Austria,Potatoes,2005,234928,1110,99.87,6.35
USA,Soybeans,2001,27666,715,114.73,8.5
Vietnam,Yams,2011,152333,1821,92.0,25.5
Egypt,Yams,2009,106466,51,85.01,22.5
Belgium,Yams,2000,135900,847,113.83,10.5
Turkey,Sorghum,2005,19528,574,108.09,11.1
Netherlands,Soybeans,1991,22919,850,142.56,9.5
Albania,Plantains,2012,76518,1485,81.02,16.37
Brazil,Sweet potatoes,1996,142887,1761,124.11,25.0
USA,Soybeans,2009,31883,715,85.25,8.5
Canada,Potatoes,2003,166939,537,115.15,-5.35
India,Soybeans,1995,32838,1083,133.93,25.0
China,Wheat,2003,31014,645,120.31,8.5
Italy,Soybeans,2012,37330,832,84.06,13.5
China,Rice,2005,47522,645,101.13,8.5
Canada,Maize,2012,61725,537,88.96,-5.35
Italy,Yams,1995,117963,832,143.4,13.5
Italy,Cassava,2000,127188,832,112.14,13.5
Thailand,Potatoes,2013,284304,1622,78.65,28.0
Albania,Plantains,1994,74613,1485,135.44,16.37
Austria,Maize,1995,55650,1110,134.94,6.35
Pakistan,Sorghum,1996,13832,494,134.11,19.0
Brazil,Sorghum,1990,15875,1761,141.13,25.0
Germany,Yams,1997,128707,700,134.96,8.5
Turkey,Yams,1992,116692,574,149.68,11.1
USA,Wheat,2005,42247,715,113.98,8.5
Bangladesh,Soybeans,1990,30381,2666,143.68,25.5
United Kingdom,Plantains,1991,61885,1220,143.5,9.5
Austria,Cassava,2013,152462,1110,86.74,6.35
India,Rice,2000,56206,1083,111.85,25.0
Bangladesh,Wheat,2002,41857,2666,117.06,25.5
Vietnam,Rice,1999,63417,1821,117.54,25.5
Spain,Potatoes,2011,255641,636,95.43,14.0
Australia,Sorghum,2006,20430,534,109.02,21.65
Australia,Potatoes,2002,195542,534,108.6,21.65
Netherlands,Potatoes,1994,155542,850,129.01,9.5
United Kingdom,Potatoes,1995,200143,1220,137.83,9.5
China,Yams,2003,129076,645,109.66,8.5
Albania,Wheat,2009,41970,1485,97.04,16.37
Egypt,Rice,2011,48930,51,84.44,22.5
Vietnam,Yams,2008,131691,1821,91.93,25.5
France,Wheat,1994,35225,867,130.76,12.5
United Kingdom,Plantains,2008,70873,1220,89.54,9.5
Bangladesh,Sweet potatoes,2011,170006,2666,79.16,25.5
Pakistan,Plantains,2006,58503,494,93.66,19.0
Germany,Soybeans,1992,25396,700,136.39,8.5
France,Soybeans,2007,34092,867,89.28,12.5
Germany,Wheat,1996,28628,700,125.72,8.5
Argentina,Yams,1997,117474,590,124.37,16.0
Japan,Sweet potatoes,2009,178500,1668,85.04,12.0
Japan,Maize,2002,59015,1668,120.85,12.0
United Kingdom,Sweet potatoes,2007,186451,1220,90.33,9.5
Australia,Soybeans,2008,38590,534,92.02,21.65
Italy,Plantains,1998,68457,832,119.1,13.5
Canada,Wheat,1997,24686,537,126.35,-5.35
Vietnam,Soybeans,1990,25070,1821,159.59,25.5
Argentina,Plantains,2008,70824,590,90.16,16.0
Italy,Cassava,2009,140599,832,98.19,13.5
Egypt,Rice,2008,45388,51,87.48,22.5
Australia,Potatoes,2004,241527,534,104.8,21.65
Germany,Wheat,1992,31849,700,146.47,8.5
Argentina,Sorghum,1990,14410,590,152.37,16.0
Egypt,Wheat,1997,27474,51,138.74,22.5
Turkey,Cassava,2009,165130,574,94.84,11.1
India,Maize,1997,54109,1083,134.49,25.0
Mexico,Sorghum,1995,17389,758,142.12,21.0
Bangladesh,Plantains,2012,77063,2666,85.87,25.5
Mexico,Sweet potatoes,1994,156170,758,130.62,21.0
Argentina,Plantains,2009,85605,590,86.63,16.0
United Kingdom,Yams,2011,128719,1220,96.66,9.5
Mexico,Rice,2006,53493,758,103.98,21.0
Bangladesh,Cassava,1998,139132,2666,116.25,25.5
United Kingdom,Potatoes,2010,243248,1220,87.66,9.5
Brazil,Wheat,2008,36428,1761,104.73,25.0
Austria,Sweet potatoes,1992,150038,1110,134.77,6.35
Brazil,Sweet potatoes,1997,163122,1761,129.38,25.0
Turkey,Potatoes,1994,185036,574,147.26,11.1
Pakistan,Wheat,2009,26571,494,86.01,19.0
Indonesia,Cassava,2006,152177,2702,107.38,26.5
Egypt,Sorghum,1997,13353,51,129.68,22.5
Italy,Potatoes,2011,254382,832,80.25,13.5
Belgium,Rice,2005,62690,847,99.21,10.5
Indonesia,Sorghum,2013,21776,2702,86.92,26.5
Bangladesh,Potatoes,2005,203401,2666,96.14,25.5
Netherlands,Cassava,2007,160928,850,100.21,9.5
Belgium,Cassava,2005,125990,847,111.94,10.5
Egypt,Yams,2008,133077,51,101.49,22.5
Brazil,Potatoes,2002,218125,1761,118.29,25.0
Albania,Plantains,1990,70917,1485,154.7,16.37
USA,Wheat,2002,39399,715,114.7,8.5
Thailand,Soybeans,2012,36311,1622,82.17,28.0
India,Cassava,1998,128107,1083,125.19,25.0
United Kingdom,Plantains,1999,76149,1220,116.52,9.5
Germany,Maize,1997,62456,700,134.39,8.5
Vietnam,Maize,2007,62226,1821,90.88,25.5
Canada,Plantains,1992,63473,537,142.05,-5.35
Thailand,Maize,2010,65244,1622,83.87,28.0
Belgium,Wheat,2008,33048,847,93.36,10.5
Mexico,Soybeans,2011,36027,758,93.39,21.0
United Kingdom,Potatoes,2008,212699,1220,97.08,9.5
Pakistan,Potatoes,1997,141318,494,133.72,19.0
India,Cassava,2011,182472,1083,78.54,25.0
Egypt,Wheat,2009,32856,51,85.65,22.5
Belgium,Sorghum,2011,20805,847,78.44,10.5
Thailand,Maize,1995,65251,1622,137.6,28.0
Turkey,Plantains,1990,62698,574,150.35,11.1
Indonesia,Soybeans,1991,27662,2702,140.73,26.5
Mexico,Cassava,2005,169637,758,105.75,21.0
India,Potatoes,1990,187586,1083,148.79,25.0
Canada,Yams,2001,106397,537,112.06,-5.35
Netherlands,Cassava,2004,133840,850,103.7,9.5
Spain,Sorghum,1991,14483,636,140.57,14.0
Argentina,Wheat,1998,36791,590,123.85,16.0
China,Maize,2007,61228,645,89.84,8.5
Mexico,Plantains,2011,86098,758,92.08,21.0
Bangladesh,Sweet potatoes,2013,171398,2666,81.25,25.5
United Kingdom,Wheat,1991,32370,1220,142.88,9.5
Pakistan,Sweet potatoes,1994,107133,494,132.6,19.0
France,Sweet potatoes,2013,179852,867,84.26,12.5
Pakistan,Plantains,2009,57747,494,90.78,19.0
Indonesia,Wheat,2010,41721,2702,92.06,26.5
Mexico,Plantains,1993,84093,758,145.41,21.0
Canada,Plantains,1990,50483,537,140.14,-5.35
Egypt,Wheat,2012,31054,51,93.9,22.5
Albania,Sweet potatoes,2013,194650,1485,83.58,16.37
Germany,Potatoes,2006,208842,700,96.08,8.5
Albania,Soybeans,2002,32948,1485,110.51,16.37
Albania,Sweet potatoes,1996,147050,1485,129.49,16.37
Japan,Rice,1991,42746,1668,146.21,12.0
Japan,Yams,2006,142619,1668,101.19,12.0
Netherlands,Yams,2008,127042,850,103.42,9.5
Brazil,Cassava,2004,177751,1761,116.82,25.0
Belgium,Cassava,2006,161441,847,109.97,10.5
China,Sweet potatoes,2005,161226,645,106.71,8.5
Vietnam,Sweet potatoes,2001,158819,1821,116.12,25.5
Egypt,Sorghum,1998,13616,51,119.28,22.5
Vietnam,Maize,1993,56039,1821,145.32,25.5
Mexico,Yams,1994,119158,758,142.6,21.0
Bangladesh,Plantains,2002,69358,2666,116.73,25.5
Netherlands,Sorghum,1996,18536,850,141.7,9.5
Thailand,Maize,1994,59879,1622,146.57,28.0
Brazil,Yams,1995,127280,1761,140.33,25.0
Australia,Potatoes,1994,202260,534,131.61,21.65
Albania,Cassava,2012,141217,1485,74.29,16.37
India,Cassava,1993,122560,1083,143.95,25.0
Indonesia,Maize,1991,56412,2702,155.49,26.5
France,Sorghum,2012,22592,867,85.7,12.5
Pakistan,Wheat,1991,21287,494,140.57,19.0
Albania,Soybeans,1997,30139,1485,121.03,16.37
Germany,Maize,2002,52979,700,114.89,8.5
United Kingdom,Wheat,1995,36825,1220,137.92,9.5
United Kingdom,Sorghum,1999,19310,1220,132.42,9.5
Canada,Sorghum,1990,13219,537,157.95,-5.35
Thailand,Sorghum,1992,15038,1622,147.24,28.0
Vietnam,Rice,2005,54583,1821,110.77,25.5
Brazil,Yams,1992,101309,1761,143.68,25.0
Albania,Cassava,1998,153586,1485,130.52,16.37
